Age,NormGrp,Mn,SD,Scale
11,Female,1.8,2.39,AG
12,Female,1.9,2.87,AG
13,Female,1.43,2.28,AG
14,Female,1.84,2.77,AG
15,Female,1.54,2.63,AG
16,Female,1.74,2.74,AG
17,Female,2.01,2.75,AG
18,Female,2.01,2.75,AG
6,Total,1.46,2.01,AG
7,Total,1.35,2.14,AG
8,Total,1.72,2.04,AG
9,Total,1.77,2.49,AG
10,Total,1.6,2.49,AG
11,Total,2.04,2.81,AG
12,Total,1.77,2.93,AG
13,Total,2.25,3.1,AG
14,Total,2.37,3.23,AG
15,Total,2.14,2.23,AG
16,Total,2.16,3.09,AG
17,Total,2.16,3.09,AG
18,Total,2.16,3.09,AG
6,Male,1.35,2.15,PR
7,Male,1.35,2.15,PR
8,Male,1.35,2.15,PR
9,Male,1.24,2.1,PR
10,Male,1.16,1.71,PR
11,Male,1.21,1.56,PR
12,Male,1.4,1.83,PR
13,Male,1.5,1.79,PR
14,Male,1.49,1.73,PR
15,Male,1.54,2.16,PR
16,Male,1.32,1.63,PR
17,Male,1.37,1.59,PR
18,Male,1.37,1.59,PR
6,Female,1.21,1.84,PR
7,Female,1.21,1.84,PR
8,Female,1.21,1.84,PR
9,Female,1.29,2.29,PR
10,Female,1.45,1.81,PR
11,Female,1.38,2.01,PR
12,Female,1.36,1.98,PR
13,Female,1.3,2.13,PR
14,Female,1.32,1.88,PR
15,Female,1.32,1.88,PR
16,Female,1.41,2,PR
17,Female,1.37,2.15,PR
18,Female,1.37,2.15,PR
6,Total,0.78,1.35,PR
7,Total,1.25,1.79,PR
8,Total,1.16,1.69,PR
9,Total,1.02,1.73,PR
10,Total,1.25,1.66,PR
11,Total,1.14,1.42,PR
12,Total,1.38,1.9,PR
13,Total,1.36,1.73,PR
14,Total,1.37,1.8,PR
15,Total,1.18,1.79,PR
16,Total,1.15,1.44,PR
17,Total,1.21,1.53,PR
18,Total,1.21,1.53,PR
6,Male,5.41,4.42,GI
7,Male,5.41,4.42,GI
8,Male,4.68,4.15,GI
9,Male,5.22,4.93,GI
10,Male,4.74,4.47,GI
11,Male,4.74,3.82,GI
12,Male,4.24,4.19,GI
13,Male,4.49,4.26,GI
14,Male,4.49,4.26,GI
15,Male,3.39,3.55,GI
16,Male,3.94,4.8,GI
17,Male,2.98,3.23,GI
18,Male,2.98,3.23,GI
6,Female,5.26,3.89,GI
7,Female,4.62,4.1,GI
8,Female,4.84,3.92,GI
9,Female,4.64,4.58,GI
10,Female,3.88,3.96,GI
11,Female,3.88,4,GI
12,Female,3.8,3.83,GI
13,Female,3.27,3.72,GI
14,Female,3.74,4.19,GI
15,Female,3.34,4.45,GI
16,Female,3.65,4.79,GI
17,Female,4.22,4.63,GI
18,Female,4.22,4.63,GI
6,Total,5.15,3.97,GI
7,Total,5.07,4.92,GI
