Age,NormGrp,Mn,SD,Scale
17,Male,9.67,5.08,AN
18,Male,9.67,5.08,AN
8,Female,9.35,6.09,AN
9,Female,9.48,5.93,AN
10,Female,8.74,5.33,AN
11,Female,8.94,5.2,AN
12,Female,8.12,4.95,AN
13,Female,8.1,4.61,AN
14,Female,9.06,6.45,AN
15,Female,9.55,5.56,AN
16,Female,10.08,6.17,AN
17,Female,10.53,4.81,AN
18,Female,10.53,4.81,AN
8,Total,8.23,6.03,AN
9,Total,9.1,5.58,AN
10,Total,8.5,5.37,AN
11,Total,8.93,5.31,AN
12,Total,8.02,5.1,AN
13,Total,8.24,4.46,AN
14,Total,9.21,6.09,AN
15,Total,9,5.6,AN
16,Total,9.68,5.56,AN
17,Total,9.68,5.56,AN
18,Total,9.68,5.56,AN
8,Male,6.58,4.97,AH
9,Male,7.5,5.01,AH
10,Male,7.26,5.04,AH
11,Male,6.61,4.91,AH
12,Male,6.62,4.53,AH
13,Male,6.28,4.49,AH
14,Male,6.68,5.13,AH
15,Male,6.28,4.97,AH
16,Male,6.44,5.32,AH
17,Male,6.79,4.81,AH
18,Male,6.79,4.81,AH
8,Female,7.23,4.96,AH
9,Female,6.82,4.53,AH
10,Female,6.17,4.32,AH
11,Female,6.33,4.81,AH
12,Female,5.61,4.34,AH
13,Female,5.87,3.93,AH
14,Female,6.33,5.01,AH
15,Female,6.72,5.49,AH
16,Female,7.88,4.92,AH
17,Female,7.94,4.88,AH
18,Female,7.94,4.88,AH
8,Total,6.45,4.98,AH
9,Total,7.17,4.77,AH
10,Total,6.71,4.69,AH
11,Total,6.47,4.83,AH
12,Total,6.07,4.52,AH
13,Total,6.08,4.21,AH
14,Total,6.5,5.05,AH
15,Total,6.23,5.01,AH
16,Total,6.99,4.91,AH
17,Total,6.99,4.91,AH
18,Total,6.99,4.91,AH
8,Male,1.31,2.21,CD
9,Male,1.18,1.86,CD
10,Male,1.3,2.12,CD
11,Male,1.4,1.73,CD
12,Male,1.73,1.88,CD
13,Male,1.89,2.1,CD
14,Male,2.4,2.79,CD
15,Male,2.42,2.34,CD
16,Male,2.2,2.56,CD
17,Male,3.01,2.77,CD
18,Male,3.01,2.77,CD
8,Female,1.42,1.74,CD
9,Female,1.39,2.1,CD
10,Female,0.92,1.5,CD
11,Female,1.22,1.37,CD
12,Female,1.11,1.39,CD
13,Female,1.4,1.55,CD
14,Female,2.02,2.79,CD
15,Female,2.04,2.83,CD
16,Female,2.66,2.96,CD
17,Female,2.94,2.57,CD
18,Female,2.94,2.57,CD
8,Total,1.36,1.99,CD
9,Total,1.29,1.97,CD
10,Total,1.11,1.82,CD
11,Total,1.31,1.56,CD
12,Total,1.22,1.67,CD
13,Total,1.47,1.59,CD
14,Total,2.2,2.78,CD
15,Total,2.23,2.59,CD
16,Total,2.43,2.76,CD
17,Total,2.9,2.78,CD
18,Total,2.9,2.78,CD
8,Male,4.31,4.09,OD
9,Male,4.94,3.9,OD
10,Male,4.84,3.74,OD
11,Male,5.12,3.65,OD
12,Male,4.57,3.17,OD
13,Male,5.32,3.71,OD
14,Male,5.27,3.83,OD
15,Male,4.73,3.74,OD
16,Male,5.4,3.84,OD
17,Male,6.12,3.84,OD
18,Male,6.12,3.84,OD
8,Female,5.22,4.06,OD
9,Female,5.12,4.01,OD
10,Female,4.49,3.6,OD
11,Female,4.54,4.13,OD
12,Female,4.31,4.87,OD
13,Female,4.76,3.51,OD
14,Female,5.32,4.27,OD
15,Female,6,5.13,OD
16,Female,6.32,4.55,OD
17,Female,6.7,4.01,OD
18,Female,6.7,4.01,OD
8,Total,4.74,4.08,OD
9,Total,5.03,3.94,OD
10,Total,4.67,3.66,OD
11,Total,4.84,3.88,OD
12,Total,4.44,4.08,OD
13,Total,5.04,3.6,OD
14,Total,5.29,4.04,OD
15,Total,5.37,4.52,OD
16,Total,5.87,4.22,OD
17,Total,6.41,3.92,OD
18,Total,6.41,3.92,OD
