Age,NormGrp,Mn,SD,Scale
11,Female,2.96,3.16,EF
12,Female,3.58,3.84,EF
13,Female,2.97,3.48,EF
14,Female,3.56,4.03,EF
15,Female,3.79,3.97,EF
16,Female,4.78,4.5,EF
17,Female,5.44,4.2,EF
18,Female,5.44,4.2,EF
6,Total,6.23,5.29,EF
7,Total,5.53,4.78,EF
8,Total,4.71,4.59,EF
9,Total,4.21,4.39,EF
10,Total,4.46,4.42,EF
11,Total,4.27,4.25,EF
12,Total,4.34,4.11,EF
13,Total,3.91,5.14,EF
14,Total,4.23,4.71,EF
15,Total,4.17,4.3,EF
16,Total,5.38,4.59,EF
17,Total,5.38,4.59,EF
18,Total,5.38,4.59,EF
6,Male,2.85,4.54,AG
7,Male,2.24,3.74,AG
8,Male,2.8,3.81,AG
9,Male,2.67,4.53,AG
10,Male,2.45,4.01,AG
11,Male,2.93,4.62,AG
12,Male,1.87,3.48,AG
13,Male,1.97,3.54,AG
14,Male,1.73,2.93,AG
15,Male,1.24,2.98,AG
16,Male,1.89,3.94,AG
17,Male,2.43,4.15,AG
18,Male,2.43,4.15,AG
6,Female,0.98,2.48,AG
7,Female,0.81,2.27,AG
8,Female,1.25,2.76,AG
9,Female,1.19,2.3,AG
10,Female,1.06,2.02,AG
11,Female,1.02,2.86,AG
12,Female,1.1,2.85,AG
13,Female,1.15,2.98,AG
14,Female,1.21,2.96,AG
15,Female,1.06,2.26,AG
16,Female,1.48,2.11,AG
17,Female,1.79,2.57,AG
18,Female,1.79,2.57,AG
6,Total,1.84,3.68,AG
7,Total,1.89,3.57,AG
8,Total,1.89,3.57,AG
9,Total,1.94,3.67,AG
10,Total,1.75,3.35,AG
11,Total,1.92,3.9,AG
12,Total,1.47,3.18,AG
13,Total,1.73,3.67,AG
14,Total,1.57,3.3,AG
15,Total,1.47,3.01,AG
16,Total,1.67,3.11,AG
17,Total,2.11,3.43,AG
18,Total,2.11,3.43,AG
6,Male,2.59,3.51,PR
7,Male,1.96,2.78,PR
8,Male,2.22,2.4,PR
9,Male,2,2.81,PR
10,Male,1.7,2.47,PR
11,Male,1.85,2.43,PR
12,Male,2.02,2.88,PR
13,Male,1.81,2.37,PR
14,Male,1.44,1.84,PR
15,Male,1.1,1.91,PR
16,Male,1.68,2.37,PR
17,Male,1.84,2.53,PR
18,Male,1.84,2.53,PR
6,Female,1.13,1.95,PR
7,Female,1.29,2.01,PR
8,Female,2.04,2.41,PR
9,Female,2.26,3.68,PR
10,Female,2.52,3.11,PR
11,Female,1.81,2.41,PR
12,Female,1.61,2.41,PR
13,Female,1.46,2.37,PR
14,Female,1.76,2.85,PR
15,Female,1.52,2.39,PR
16,Female,1.72,2.52,PR
17,Female,1.04,2.73,PR
18,Female,1.04,2.73,PR
6,Total,4.18,4.4,PR
7,Total,3.61,4.2,PR
8,Total,3.62,4.07,PR
9,Total,2.93,4.37,PR
10,Total,3.09,3.77,PR
11,Total,2.74,3.68,PR
12,Total,2.51,3.52,PR
